model,epoch,val_loss,val_f1_macro,thresholds
microsoft_mdeberta-v3-base_3,2.0,0.38155046105384827,0.5247019380826864,"0.45,0.25,0.25,0.35000000000000003,0.3,0.3"
microsoft_mdeberta-v3-base_3,3.0,0.3921981751918793,0.5428137226578147,"0.45,0.25,0.25,0.35000000000000003,0.3,0.3"
microsoft_mdeberta-v3-base_3,4.0,0.4009374678134918,0.5775176346761522,"0.45,0.25,0.25,0.35000000000000003,0.3,0.3"
microsoft_mdeberta-v3-base_3,5.0,0.4173242151737213,0.5745212928825026,"0.45,0.25,0.25,0.35000000000000003,0.3,0.3"
microsoft_mdeberta-v3-base_3,5.0,0.4009374678134918,0.5775176346761522,"0.45,0.25,0.25,0.35000000000000003,0.3,0.3"
microsoft_mdeberta-v3-base_3,5.0,0.39369630813598633,0.5769359874218338,"0.45,0.25,0.25,0.35000000000000003,0.3,0.3"
mono_amh_microsoft_mdeberta-v3-base_1,1.0,0.5213556289672852,0.2421768939976494,"0.3,0.45,0.15000000000000002,0.2,0.15000000000000002,0.15000000000000002"
mono_amh_microsoft_mdeberta-v3-base_1,2.0,0.5050106644630432,0.24878539188377982,"0.3,0.45,0.15000000000000002,0.2,0.15000000000000002,0.15000000000000002"
mono_amh_microsoft_mdeberta-v3-base_1,3.0,0.49750614166259766,0.23886691369219784,"0.3,0.45,0.15000000000000002,0.2,0.15000000000000002,0.15000000000000002"
mono_amh_microsoft_mdeberta-v3-base_1,4.0,0.5006917119026184,0.23516418400035977,"0.3,0.45,0.15000000000000002,0.2,0.15000000000000002,0.15000000000000002"
mono_amh_microsoft_mdeberta-v3-base_1,5.0,0.5008963346481323,0.23888461325647256,"0.3,0.45,0.15000000000000002,0.2,0.15000000000000002,0.15000000000000002"
mono_amh_microsoft_mdeberta-v3-base_1,5.0,0.5050106644630432,0.24878539188377982,"0.3,0.45,0.15000000000000002,0.2,0.15000000000000002,0.15000000000000002"
